"state","state_code","date","price"
"California","CA",2001-01-31,229860
"California","CA",2001-02-28,232039
"California","CA",2001-03-31,234529
"California","CA",2001-04-30,237667
"California","CA",2001-05-31,240568
"California","CA",2001-06-30,243087
"California","CA",2001-07-31,245474
"California","CA",2001-08-31,247858
"California","CA",2001-09-30,250232
"California","CA",2001-10-31,252473
"California","CA",2001-11-30,254586
"California","CA",2001-12-31,256578
"California","CA",2002-01-31,258110
"California","CA",2002-02-28,259799
"California","CA",2002-03-31,261791
"California","CA",2002-04-30,264538
"California","CA",2002-05-31,267611
"California","CA",2002-06-30,270971
"California","CA",2002-07-31,274919
"California","CA",2002-08-31,279117
"California","CA",2002-09-30,283307
"California","CA",2002-10-31,287239
"California","CA",2002-11-30,291149
"California","CA",2002-12-31,295029
"California","CA",2003-01-31,298315
"California","CA",2003-02-28,301409
"California","CA",2003-03-31,304788
"California","CA",2003-04-30,308790
"California","CA",2003-05-31,313170
"California","CA",2003-06-30,316924
"California","CA",2003-07-31,321121
"California","CA",2003-08-31,325600
"California","CA",2003-09-30,330734
"California","CA",2003-10-31,335542
"California","CA",2003-11-30,340155
"California","CA",2003-12-31,344640
"California","CA",2004-01-31,349422
"California","CA",2004-02-29,354900
"California","CA",2004-03-31,361086
"California","CA",2004-04-30,368138
"California","CA",2004-05-31,376282
"California","CA",2004-06-30,385281
"California","CA",2004-07-31,394163
"California","CA",2004-08-31,402454
"California","CA",2004-09-30,410351
"California","CA",2004-10-31,418059
"California","CA",2004-11-30,424567
"California","CA",2004-12-31,431161
"California","CA",2005-01-31,436837
"California","CA",2005-02-28,443513
"California","CA",2005-03-31,450413
"California","CA",2005-04-30,458365
"California","CA",2005-05-31,465652
"California","CA",2005-06-30,472231
"California","CA",2005-07-31,478611
"California","CA",2005-08-31,485241
"California","CA",2005-09-30,491879
"California","CA",2005-10-31,498341
"California","CA",2005-11-30,503102
"California","CA",2005-12-31,507522
"California","CA",2006-01-31,511096
"California","CA",2006-02-28,514407
"California","CA",2006-03-31,517669
"California","CA",2006-04-30,520522
"California","CA",2006-05-31,523489
"California","CA",2006-06-30,525182
"California","CA",2006-07-31,525456
"California","CA",2006-08-31,525191
"California","CA",2006-09-30,523599
"California","CA",2006-10-31,522235
"California","CA",2006-11-30,520817
"California","CA",2006-12-31,519702
"California","CA",2007-01-31,518829
"California","CA",2007-02-28,517649
"California","CA",2007-03-31,515863
"California","CA",2007-04-30,513626
"California","CA",2007-05-31,509903
"California","CA",2007-06-30,505971
"California","CA",2007-07-31,500752
"California","CA",2007-08-31,495657
"California","CA",2007-09-30,489715
"California","CA",2007-10-31,483593
"California","CA",2007-11-30,477547
"California","CA",2007-12-31,470904
"California","CA",2008-01-31,464521
"California","CA",2008-02-29,456471
"California","CA",2008-03-31,446819
"California","CA",2008-04-30,435600
"California","CA",2008-05-31,424103
"California","CA",2008-06-30,413409
"California","CA",2008-07-31,402362
"California","CA",2008-08-31,391960
"California","CA",2008-09-30,382506
"California","CA",2008-10-31,374585
"California","CA",2008-11-30,366428
"California","CA",2008-12-31,358645
"California","CA",2009-01-31,351485
"California","CA",2009-02-28,346993
"California","CA",2009-03-31,342932
"California","CA",2009-04-30,338854
"California","CA",2009-05-31,334861
"California","CA",2009-06-30,331578
"California","CA",2009-07-31,329358
"California","CA",2009-08-31,327379
"California","CA",2009-09-30,325894
"California","CA",2009-10-31,325378
"California","CA",2009-11-30,327115
"California","CA",2009-12-31,329744
"California","CA",2010-01-31,331920
"California","CA",2010-02-28,332303
"California","CA",2010-03-31,333509
"California","CA",2010-04-30,335004
"California","CA",2010-05-31,336600
"California","CA",2010-06-30,335879
"California","CA",2010-07-31,334160
"California","CA",2010-08-31,331707
"California","CA",2010-09-30,329564
"California","CA",2010-10-31,327227
"California","CA",2010-11-30,325309
"California","CA",2010-12-31,324126
"California","CA",2011-01-31,323164
"California","CA",2011-02-28,322122
"California","CA",2011-03-31,320281
"California","CA",2011-04-30,318513
"California","CA",2011-05-31,315580
"California","CA",2011-06-30,313764
"California","CA",2011-07-31,312089
"California","CA",2011-08-31,310075
"California","CA",2011-09-30,307594
"California","CA",2011-10-31,305068
"California","CA",2011-11-30,304407
"California","CA",2011-12-31,303818
"California","CA",2012-01-31,303605
"California","CA",2012-02-29,303349
"California","CA",2012-03-31,303493
