,title,media,date,datetime,desc,link,img
0,Covid Updates: U.S. Watching Uptick in Cases Closely,The New York Times,2 weeks ago,2022-04-20 21:39:32.767644,"The new White House Covid czar, Dr. Ashish Jha, said that hospitalizations 
remained very low and that he was not overly concerned. The U.S. State 
Department...",https://www.nytimes.com/live/2022/04/11/world/covid-19-mandates-cases-vaccine,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
1,Philadelphia is first major U.S. city to restore indoor mask mandate as COVID cases rise,Fortune,3 weeks ago,2022-04-13 21:39:32.777630,"Confirmed COVID-19 cases have risen more than 50% in 10 days, the threshold 
at which the city's guidelines call for people to wear masks indoors.",https://fortune.com/2022/04/11/philadelphia-indoor-mask-mandate-covid-cases-rise/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2,"Rapid City growth numbers rising, ranking it among several well-known US cities - KNBN NewsCenter1",NewsCenter1,1 month ago,2022-04-04 21:39:32.788489,"RAPID CITY, S.D. — According to the U.S. Census Bureau, Rapid City is the 
fastest growing metro area in the Midwest, and among the top 8 percent in 
the...",https://www.newscenter1.tv/rapid-city-growth-numbers-rising-ranking-it-among-several-well-known-u-s-cities/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
3,Miami rent is rising faster than in any other U.S. city,Time Out,1 month ago,2022-04-04 21:39:32.799054,"According to a recent report by Zumper, Miami is the U.S. city with the 
fastest rising rent prices—more than NYC or L.A..",https://www.timeout.com/miami/news/miami-rent-is-rising-faster-than-in-any-other-u-s-city-032522,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
4,The 10 U.S. Cities Where Rent Prices Are Rising Fastest,Money,1 month ago,2022-04-04 21:39:32.809034,"A new study from Realtor.com shows median rent is up 17% in U.S. cities, 
and Miami, Tampa and Orlando are seeing the biggest rent increases.",https://money.com/cities-where-rent-prices-rising-fastest/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
5,"Superstars, rising stars, and the rest: Pandemic trends and shifts in the geography of tech",Brookings,"ar 8, 2022",,"The pandemic years raised the promise of tech decentralization through 
remote work and new siting decisions. Yet, the dominance of tech's 
long-standing hubs...",https://www.brookings.edu/research/superstars-rising-stars-and-the-rest-pandemic-trends-and-shifts-in-the-geography-of-tech/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
6,New York City crime wave continues into 2022 as city rolls out safety plan,CNN,"ar 5, 2022",,"Major crimes in New York City spiked nearly 60% in February compared to the 
same month in 2021 -- a large majority occurring in a small swath of the...",https://www.cnn.com/2022/03/05/us/new-york-city-crime-wave-2022/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
7,Rent prices keep rising—here are the 25 most expensive U.S. cities to rent a 1-bedroom apartment,CNBC,"Feb 28, 2022",2022-02-28 00:00:00.000000,"The prices for one-bedroom rentals in the U.S. have risen for the second 
straight month, for a new all-time median high of $1393, according to a new 
study.",https://www.cnbc.com/2022/02/28/the-25-most-expensive-us-cities-to-rent-a-1-bedroom-apartment.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
8,Biden Meets With Eric Adams in New York as U.S. Cities Grapple With Rising Crime,The Wall Street Journal,"Feb 3, 2022",2022-02-03 00:00:00.000000,"WASHINGTON—With murder rates in many U.S. cities rising, President Biden 
traveled to New York City on Thursday to highlight federal efforts to fight 
gun...",https://www.wsj.com/articles/biden-to-meet-eric-adams-in-new-york-as-u-s-cities-cope-with-rising-crime-11643897427,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
9,Rents soared in many U.S. cities last year — and may keep rising in 2022,CBS News,"Feb 2, 2022",2022-02-02 00:00:00.000000,"Americans can't seem to catch a break when looking for a place to live: The 
monthly rent in America's 50 largest cities rose an average of 14% in 
2021,...",https://www.cbsnews.com/news/rents-rose-14-percent-us-2021/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
10,These are the world's most expensive cities in 2021,CNN,"Nov 30, 2021",2021-11-30 00:00:00.000000,"Inflation across major global cities is rising at its fastest rate for five 
years. Here are 2021's most expensive places to live.",https://www.cnn.com/travel/article/world-most-expensive-cities-2021/index.html,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
11,Data shows that New York City is the top rent rising city in the country | amNewYork,amNewYork,"Nov 25, 2021",2021-11-25 00:00:00.000000,"Zumper ranked the 100 most rent rising cities in the US and New York City 
took the first place in this list. According to their data, the median 
price for a...",https://www.amny.com/news/data-shows-that-new-york-city-is-the-top-rent-rising-city-in-the-country/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
12,How Africa will become the center of the world's urban future - Washington Post,The Washington Post,"Nov 19, 2021",2021-11-19 00:00:00.000000,"Growing at unprecedented rates, and shaped by forces both familiar and new, 
dozens of African cities will join the ranks of humanity's biggest 
megalopolises...",https://www.washingtonpost.com/world/interactive/2021/africa-cities/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
13,50 Housing Markets That Are Turning Ugly,GOBankingRates,"ct 31, 2021",,"The U.S. housing market has been strong, and home prices have been rising 
steadily since 2012. However, with the pandemic housing boom and low 
mortgage...",https://www.gobankingrates.com/investing/real-estate/housing-markets-that-are-turning-ugly/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
14,"More US cities invest in cyber insurance, but costs are rising",Cities Today,"ct 28, 2021",,"In a newly released survey, 59 percent of local government technology 
leaders say their cybersecurity budget increased this year, but 58 percent 
say it is...",https://cities-today.com/more-us-cities-invest-in-cyber-insurance-but-costs-are-rising/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
15,Chicago business leaders say rising crime threatens city's economic future,NBC News,"ct 12, 2021",,"The rise in violent crime in Chicago has boiled over, drawing concern from 
business leaders and leading to political infighting among those charged 
with.",https://www.nbcnews.com/news/us-news/chicago-business-leaders-say-rising-crime-threatens-citys-economic-fut-rcna2745,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
16,Phoenix Real Estate: Home Prices in Three Cities Jump 25% or More,Bloomberg.com,"Sep 1, 2021",2021-09-01 00:00:00.000000,"Demand for more space and a limited supply of homes are fueling the biggest 
price increase in three decades.",https://www.bloomberg.com/news/articles/2021-09-01/where-home-prices-are-rising-the-most-us-cities-seeing-over-25-spike,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
